TYPE,BRAND,FLEET,QAIG,REG/PLAT,MODEL,CAPACITY,CHASIS,FLEET S/N,OWNERSHIP,REMARKS
TYPE-> PICKUP,BRAND-> TOYOTA,FLEET-> V-7482,QAIG-LV-06,REG/PLATE-> 183891,MODEL-> HILUX-PICK-UP,N/A,CHASIS-> MR0JX8CD2N3418418,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> PICKUP,BRAND-> TOYOTA,FLEET-> V-7483,QAIG-LV-07,REG/PLATE-> 183678,MODEL-> HILUX-PICK-UP,N/A,CHASIS-> MR0JX8CD1N3648712,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> SUV,BRAND-> TOYOTA,FLEET-> V-8139,QAIG-LV-08,REG/PLATE-> 791454,MODEL-> FORTUNER-V6,N/A,CHASIS-> MHFKU8FSXN0188560,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> PICKUP_3.TON,BRAND-> HINO,FLEET-> V-7179,QAIG-LV-09,REG/PLATE-> 255436,MODEL-> 3-TON-PIK-UP,N/A,CHASIS-> JHHLCKIFINK025369,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> SEDAN,BRAND-> NISSAN,FLEET-> V-5136,QAIG-C-060,REG/PLATE-> 526292,MODEL-> TIIDA,N/A,CHASIS-> 3NIBC1C77DK202639,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> SEDAN,BRAND-> NISSAN,FLEET-> V-5137,QAIG-C-061,REG/PLATE-> 526291,MODEL-> TIIDA,N/A,CHASIS-> 3NIBC1C79DK202173,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> SUV,BRAND-> TOYOTA,FLEET-> V-5293,QAIG-C-062,REG/PLATE-> 541871,MODEL-> PRADO,N/A,CHASIS-> JTEJU9FJ0DK047211,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> MITSUBISHI,FLEET-> V-5790,QAIG-LV-10,REG/PLATE-> 264508,MODEL-> SERVICE-TRUCK-CANTER,N/A,CHASIS-> JL7BCE1JXDK023643,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> MITSUBISHI,FLEET-> V-5789,QAIG-LV-11,REG/PLATE-> 264507,MODEL-> SERVICE-TRUCK-CANTER,N/A,CHASIS-> JL7BCE1JXDK023330,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> SUV,BRAND-> TOYOTA,FLEET-> V-8861,QAIG-SN/V-39,REG/PLATE-> 367309,MODEL-> PRADO,N/A,CHASIS-> JTEBU25J975074293,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> PICKUP,BRAND-> MITSUBISHI,FLEET-> V-30822,QAIG-LV-012,REG/PLATE-> 336639,MODEL-> PICK-UP,N/A,CHASIS-> MMBN7S5C1RH006821,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> PICKUP,BRAND-> MITSUBISHI,FLEET-> V-30823,QAIG-LV-013,REG/PLATE-> 336640,MODEL-> PICK-UP,N/A,CHASIS-> MMBN7S5C1RH006835,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> PICKUP,BRAND-> MITSUBISHI,FLEET-> V-30824,QAIG-LV-014,REG/PLATE-> 336645,MODEL-> PICK-UP,N/A,CHASIS-> MMBN7S5C4RH006702,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> PICKUP,BRAND-> MITSUBISHI,FLEET-> V-30825,QAIG-LV-015,REG/PLATE-> 336642,MODEL-> PICK-UP,N/A,CHASIS-> MMBN7S5C3RH006724,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> PICKUP,BRAND-> MITSUBISHI,FLEET-> V-30826,QAIG-LV-016,REG/PLATE-> 336647,MODEL-> PICK-UP,N/A,CHASIS-> MMBN7S5C4RH006800,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> PICKUP,BRAND-> MITSUBISHI,FLEET-> V-30827,QAIG-LV-017,REG/PLATE-> 336641,MODEL-> PICK-UP,N/A,CHASIS-> MMBN7S5C3RH006755,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> PICKUP_3.TON,BRAND-> MITSUBISHI,FLEET-> V-30828,QAIG-LV-018,REG/PLATE-> 336992,MODEL-> 3-TON-PIK-UP,N/A,CHASIS-> JL7BDE1AXRK009567,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
